01/01/2015,13,8,748,424,1125
02/01/2015,11,2,733,410,1066
03/01/2015,5,-1,744,404,1085
04/01/2015,5,-3,638,337,930
05/01/2015,8,4,675,367,1002
06/01/2015,8,2,691,376,1005
07/01/2015,10,3,723,390,1072
08/01/2015,9,4,724,406,1056
09/01/2015,14,7,766,431,1122
10/01/2015,13,3,763,428,1143
11/01/2015,7,4,656,351,975
12/01/2015,10,3,683,365,1007
13/01/2015,6,0,681,370,996
14/01/2015,8,0,697,386,1031
15/01/2015,9,4,736,390,1070
16/01/2015,5,-2,734,393,1050
17/01/2015,5,-1,726,397,1063
18/01/2015,2,-1,636,336,925
19/01/2015,1,-5,642,335,920
20/01/2015,3,-2,669,359,970
21/01/2015,3,1,694,382,994
22/01/2015,4,0,706,391,1017
23/01/2015,7,-1,735,417,1058
24/01/2015,7,2,760,419,1106
25/01/2015,9,2,656,351,975
26/01/2015,9,5,680,363,1012
27/01/2015,7,3,684,384,1009
28/01/2015,9,1,710,387,1018
29/01/2015,3,0,706,395,1013
30/01/2015,5,0,736,407,1043
31/01/2015,5,1,736,410,1116
01/02/2015,4,-4,634,334,920
02/02/2015,2,-5,644,336,929
03/02/2015,5,-4,670,355,979
04/02/2015,5,-2,689,372,1002
05/02/2015,6,0,719,386,1029
06/02/2015,5,-4,739,403,1052
07/02/2015,5,-1,755,417,1056
08/02/2015,5,-1,642,340,940
09/02/2015,6,5,672,360,999
10/02/2015,5,2,682,372,994
11/02/2015,4,2,691,379,1003
12/02/2015,6,2,717,397,1035
13/02/2015,8,3,750,414,1072
14/02/2015,8,3,757,421,1074
15/02/2015,9,2,656,351,975
16/02/2015,7,2,668,360,989
17/02/2015,8,-2,682,367,1011
18/02/2015,10,3,713,383,1044
19/02/2015,8,3,713,399,1073
20/02/2015,6,0,726,412,1096
21/02/2015,6,0,760,410,1082
22/02/2015,8,0,650,346,960
23/02/2015,7,1,667,359,983
24/02/2015,7,2,682,385,1011
25/02/2015,10,3,705,385,1041
26/02/2015,10,0,715,395,1060
27/02/2015,8,1,745,403,1063
28/02/2015,11,5,768,412,1106
01/03/2015,8,2,654,349,970
02/03/2015,6,0,662,356,976
03/03/2015,7,0,682,367,1004
04/03/2015,8,2,710,385,1036
05/03/2015,9,1,712,396,1069
06/03/2015,13,6,749,419,1147
07/03/2015,16,8,796,432,1169
08/03/2015,10,1,656,351,975
09/03/2015,10,-1,667,358,990
10/03/2015,10,1,692,377,1019
11/03/2015,10,2,702,388,1068
12/03/2015,13,3,739,409,1067
13/03/2015,8,2,740,402,1050
14/03/2015,6,0,736,389,1056
15/03/2015,8,4,658,352,980
16/03/2015,7,3,674,362,992
17/03/2015,8,0,683,375,1002
18/03/2015,11,-3,696,371,1037
19/03/2015,11,-3,709,396,1046
20/03/2015,10,3,733,415,1105
21/03/2015,10,1,763,423,1146
22/03/2015,9,-2,648,345,955
23/03/2015,10,1,671,366,995
24/03/2015,8,-1,685,364,1017
25/03/2015,9,-3,691,380,1028
26/03/2015,9,2,736,402,1067
27/03/2015,10,1,720,391,1064
28/03/2015,13,7,773,441,1193
29/03/2015,9,4,660,354,985
30/03/2015,11,4,681,368,1017
31/03/2015,11,4,698,379,1039
01/04/2015,8,4,724,394,1069
02/04/2015,10,5,784,437,1158
03/04/2015,11,6,802,475,1202
04/04/2015,12,7,854,479,1225
05/04/2015,15,5,0,0,0
06/04/2015,15,5,690,375,1041
